id,Product Name,Serial Key,Users,Expiry,Company Name,Designation,CONTACT PERSON,Contact,LANDLINE,Company Mail ID,ADDRESS 1,ADDRESS 2 AREA,City,STATE,DEALER,out,STATUS,REMARKS
1,Seqrite Endpoint Business,2F5F61561015B7E100A7,5,Offline,Adinath Sona Medicals,,,,,,,,Jaipur,RAJASTHA ,Computer Garage,,LOST ,
2,Seqrite Endpoint  Total,R6013583C600EA8C616A,15,04-01-2023,Akar Palm Hotel & Resorts Pvt Ltd,,,7073334386,,"it.jaiput@clarksinn.in,writerish07@gmail.com",,,Jaipur,,BISPL,,CLOSED WON,
3,Seqrite Endpoint Security Total,0822B87B021961F89DC7,180,11-01-2022,akme fintrade(I) Ltd.,,,2942489501,,akmefintrade@yahoo.com,,,Udaipur,,,,QUOTED,
4,Seqrite Endpoint Security Total,FB013765A700DA877272,28,28-02-2018,All india radio jaipur,,,9413753177,,jaipur@air.org.in,,,Jaipur,,BISPL,,,
5,Seqrite Endpoint Security Total,C7F7127A731878C170F0,5,16-01-2021,ASES CHEMICAL WORKS,,,9414126152,,aseschem@gmail.com,,,Jodhpur,,Frontline Computers,,,
6,Seqrite Endpoint Security Total,B13A08878774RB317212,64,10-03-2023,Basant,,,Ashok Jangid-7221860262,,it@basant.info,,,JODHPUR,,SHREE BALAJI TECHNOLOGIES,,,
7,Seqrite Endpoint Security Business,,10,,BHILWARA URBAN CO.BANK,,,,,,,,Bhilwara,,compusys,,,
8,Seqrite Endpoint Security Total,,135,,BMCHRC,,,,,,,,Jaipur,,TINU INTERNATIONAL,,,
9,Seqrite Endpoint Security Total,F73A0872F754R4103212,10,08-01-2021,Bomabay Hospital Trust Jaipur,,,9820628047,,mpved@bombayhospital.com,,,Jaipur,,Wi2Fi Networks,,,
10,Seqrite Endpoint Security Total,,15,05-02-2019,BRYS FORT HOTEL,,,,,,,,Jodhpur,,Creadent Solutions,,,
