"14953","Dipankar Khandelwal","National Engineering Industries Ltd (Jaipur)","FortiManager VM S-series. 24x7 FortiCare support for 3 Years","199468","1.00","199468.75","2021-04-02",NULL
"14954","Dipankar Khandelwal","National Engineering Industries Ltd (Jaipur)","FG200E BUNDLE APPALIANCE BOX","143275","1.00","143275.49","2021-04-02",NULL
"14955","Dipankar Khandelwal","National Engineering Industries Ltd (Jaipur)","FG200E 24X7 FOR 3 YEARS LICENSE","224724","1.00","224724.50","2021-04-02",NULL
"14956","Dipankar Khandelwal","National Engineering Industries Ltd (Jaipur)","FG40F HARWARE PLUS FORTICARE","20297","1.00","20297.87","2021-04-02",NULL
"14957","Dipankar Khandelwal","National Engineering Industries Ltd (Jaipur)","FG40F THREE YEAR 24X7 LICENSE","32702","1.00","32702.13","2021-04-02",NULL
"14958","Dipankar Khandelwal","National Engineering Industries Ltd (Jaipur)","FG40F HARWARE PLUS FORTICARE","20297","1.00","20297.87","2021-04-02",NULL
"14959","Dipankar Khandelwal","National Engineering Industries Ltd (Jaipur)","FG40F THREE YEAR 24X7 LICENSE","32702","1.00","32702.13","2021-04-02",NULL
"14960","Dipankar Khandelwal","National Engineering Industries Ltd (Jaipur)","FG30E  Hardware Plus Forticare","15000","1.00","15000.00","2021-04-02",NULL
"14961","Dipankar Khandelwal","National Engineering Industries Ltd (Jaipur)","FG30E Three  Year 24X7 LICENSE","17000","1.00","17000.00","2021-04-02",NULL
"14962","Dipankar Khandelwal","National Engineering Industries Ltd (Jaipur)","Installation Charges","35000","1.00","35000.01","2021-04-02",NULL
"14963","Dipankar Khandelwal","Meel Hotels Pvt Ltd","FG40F HARWARE PLUS FORTICARE","22000","1.00","22000.00","2021-04-02",NULL
"14964","Dipankar Khandelwal","Meel Hotels Pvt Ltd","FG40F THREE YEAR 24X7 LICENSE","35000","1.00","35000.00","2021-04-02",NULL
"14965","Heena Sharma","Tephra Infotech","QH EPS Total security for 3 Years (CTSUP)","1350","21.00","28350.00","2021-04-02",NULL
"14966","BISPL","Binary Infosolutions Pvt Ltd (MP)","AIR BRIDGE 5 5-11ac 450mbps Remote CPE with Built in Antenna","3300","12.00","39600.00","2021-04-02",NULL
"14967","Dipankar Khandelwal","Vardhman Computer Solutions","6U/400 Rack (for Computer Rack)","1850","7.00","12950.00","2021-04-02",NULL
"14968","Dipankar Khandelwal","Vardhman Computer Solutions","MOLEX CAT-6 305MTR CABLE  CAA-00076 Blue","6000","5.00","30000.00","2021-04-02",NULL
"14969","BISPL","Vikas Jangid s/o Shri Bhawani Shankar Jangid","LG LED 65TR3BF Panel IFP (18%)","92084","1.00","92084.75","2021-04-02",NULL
