"3070","Hardware","Others","00D5016-8GB (1x8gb,2Rx8,,1.35) RAM","Array","2021-07-02 04:43:07.523293"
"3071","Microsoft","Others","0365Bsness ShrdSvr SNGL SubsVVL OLP NL Annual Qlfd","Array","2021-07-02 04:43:07.630513"
"3072","Finolex","Molex Components","0.4*20 Pair Telephone Cable","Array","2021-07-02 04:43:07.726547"
"3073","Hardware","Others","0.50 SQMM Speaker Cable","Array","2021-07-02 04:43:07.822557"
"3074","Networking Cables","Molex Components","0.5SQMM X 2CORE COPPER FLEX 100 MTR"," 100.00 mtr =  100.00 No","2021-07-02 04:43:07.916861"
"3075","FORTINET FRESH","Fortinet Fresh","100E 1YR 24X7 BDL SUBSCRIPTION","0.00 PCS","2021-07-02 04:43:08.010598"
"3076","Hardware","; Not Applicable","10.0sqmm S/c,Cu Flex Cable","0.00 mtr = 0.00 No","2021-07-02 04:43:08.102626"
"3077","Hardware","Others","10 MTR USB EXTENDER CABLE","-1.00 PCS = -1.00 No","2021-07-02 04:43:08.195230"
"3078","Air Pro","AIRPRO","1144"," 1.00 No","2021-07-02 04:43:08.290676"
"3079","AIRPRO MEDIA CONVERTOR & SFP","AIRPRO","1.25G SFP FIBER MODULE 1310 LC"," 10.00 No =  10.00 PCS","2021-07-02 04:43:08.382667"
"3080","Molex Cables","Molex Cable","12 Core Outdoor Unicub SM Fibre","Array","2021-07-02 04:43:08.478666"
"3081","Finolex","Molex Components","12 Core Sm Finolex Fibre Cable","Array","2021-07-02 04:43:08.574622"
"3082","Antenna","; Not Applicable","12 DBI Antina","Array","2021-07-02 04:43:08.670631"
"3083","WALL MOUNT RACKS","RACK","12u/400 Rack (For Computer Rack)"," 8.00 No","2021-07-02 04:43:08.762672"
"3084","WALL MOUNT RACKS","RACK","12U/500 Rack (for Computer Rack)"," 9.00 No","2021-07-02 04:43:08.855232"
"3085","Net Rack","RACK","12U/500 RACK /WMS /OFF WHITE (SIDE PANEL)","Array","2021-07-02 04:43:08.955229"
"3086","WALL MOUNT RACKS","RACK","12U/600 Rack (for Computer Rack)"," 14.00 No","2021-07-02 04:43:09.047251"
"3087","PODIUM","EKIN","12v 1AM POWER ADAPTOR","Array","2021-07-02 04:43:09.142644"
"3088","Hardware","Others","12W C/W ROUND LED S/F PANEL","0.00 No","2021-07-02 04:43:09.234659"
"3089","Dell Leptop","; Not Applicable","1313 Dell Enr I3-2350","Array","2021-07-02 04:43:09.330620"
"3090","Wireless USB Adapter","AIRPRO","1408 Poe Adaptor 24 Volt 5AMP","Array","2021-07-02 04:43:09.426633"
"3091","AIRPRO ANTENNA","AIRPRO","15 Dbi 2.4 Ghz Omni Antina"," 1.00 Box =  1.00 PCS","2021-07-02 04:43:09.518618"
"3092","Antenna","; Not Applicable","15 DBI Antina","Array","2021-07-02 04:43:09.614654"
"3093","WALL MOUNT RACKS","RACK","15U/400 Rack (For Computer Rack)"," 12.00 No","2021-07-02 04:43:09.706611"
"3094","WALL MOUNT RACKS","RACK","15U/500 Rack (for Computer Rack)"," 7.00 No","2021-07-02 04:43:09.802622"
"3095","WALL MOUNT RACKS","RACK","15U/600 Rack (For Computer Rack)"," 12.00 No","2021-07-02 04:43:09.894653"
"3096","WALL MOUNT RACKS","RACK","15U Computer Networking Rack  with Accesorries","Array","2021-07-02 04:43:09.994636"
